block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.91277,2,0,$0.00,0,0,0,12.0073,1.9928,14.0113,1.9892,16.0097,1.9903
0,2,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.67057,3,0,$0.00,0,0,0,24.0092,1.9908,26.0007,1.9993,28.0009,1.9992
0,3,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.50593,8,5,+$5.00,5,0,0,32.0075,2.2425,34.2506,1.9994,36.2507,1.9994
0,4,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.82825,3,5,+$5.00,10,0,0,40.2579,1.9921,42.2509,1.9992,44.2506,1.9994
0,5,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.4758,3,5,+$5.00,15,0,0,50.2591,2.2409,52.5006,1.9995,54.5008,1.9993
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.5189,2,0,$0.00,15,0,0,58.5084,2.2417,60.7506,1.9995,62.7506,1.9994
0,7,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,1.8123,9,5,+$5.00,20,0,0,66.76,2.49,69.2509,1.9992,71.2506,1.9994
0,8,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.99642,8,0,+$0.00,20,0,0,77.2575,1.9926,79.2506,1.9995,81.2506,1.9994
0,9,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.3725,8,5,+$5.00,25,0,0,87.2584,2.2416,89.5006,1.9995,91.5006,1.9994
0,10,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.84855,9,0,$0.00,25,0,0,99.5108,2.4892,102.0006,1.9994,104.0012,1.9989
0,11,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.80183,7,0,$0.00,25,0,0,112.0083,2.4917,114.5006,1.9995,116.5006,1.9994
0,12,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.65565,3,0,$0.00,25,0,0,120.5087,2.4913,123.0006,1.9994,125.0007,1.9994
0,13,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.85335,1,0,$0.00,25,0,0,131.0089,1.9911,133.0006,1.9994,135.0012,1.9988
0,14,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,1.49,8,0,$0.00,25,0,0,143.0077,2.4923,145.5006,1.9995,147.5007,1.9993
0,15,YOU,self,1,plus0,2,miss,1,miss,0,+$0,0,-1,-1,3,0,Miss!,25,0,0,153.5078,2.2422,155.7505,2.0062,157.7579,1.9921
0,16,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.48646,7,0,+$0.00,25,0,0,161.7589,1.9912,163.7506,1.9995,165.7507,1.9994
0,17,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.99188,6,5,+$5.00,30,0,0,173.7577,1.9923,175.7506,1.9995,177.7509,1.9991
0,18,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.5483,1,0,+$0.00,30,0,0,181.7577,2.4923,184.2506,1.9995,186.2507,1.9994
0,19,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.97074,6,5,+$5.00,35,0,0,190.2576,2.4924,192.7506,1.9994,194.7506,1.9994
0,20,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.74103,2,0,$0.00,35,0,0,198.7586,2.2414,201.0009,1.9992,203.0009,1.9991
0,21,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,1.0004,4,0,$0.00,35,0,0,211.0085,2.4915,213.5006,1.9994,215.5007,1.9993
0,22,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.62131,6,5,+$5.00,40,0,0,223.5087,2.4913,226.0006,1.9994,228.0006,1.9994
0,23,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.90753,3,0,$0.00,40,0,0,236.0087,2.2414,238.2506,1.9995,240.2506,1.9994
0,24,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.69294,8,0,$0.00,40,0,0,246.2577,1.9923,248.2506,1.9995,250.2507,1.9994
0,25,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.71572,1,5,+$5.00,45,0,0,258.2587,1.9913,260.2506,1.9995,262.2506,1.9994
0,26,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.87665,3,0,$0.00,45,0,0,266.2586,2.4914,268.7506,1.9995,270.7506,1.9994
0,27,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.45123,2,0,$0.00,45,0,0,276.7591,2.2409,279.0006,1.9994,281.0006,1.9994
0,28,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.51372,7,0,+$0.00,45,0,0,287.0081,2.2419,289.2506,1.9995,291.2506,1.9994
0,29,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.98037,7,5,+$5.00,50,0,0,297.2581,1.992,299.2506,1.9994,301.2506,1.9994
0,30,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.47773,2,0,$0.00,50,0,0,309.2587,2.2413,311.5006,1.9995,313.5006,1.9994
