block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.005,7,5,+$5.00,5,0,0,12.0068,1.9932,14.0276,1.9728,16.009,1.991
0,2,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.46816,9,5,+$5.00,10,0,0,24.0087,2.2413,26.2506,1.9995,28.2507,1.9994
0,3,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,1.0656,2,0,+$0.00,10,0,0,32.2579,1.9922,34.2506,1.9994,36.2506,1.9994
0,4,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.0255,6,5,+$5.00,15,0,0,42.2572,2.2428,44.5007,1.9994,46.5007,1.9993
0,5,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.6462,2,0,+$0.00,15,0,0,54.5087,1.9914,56.5006,1.9995,58.5007,1.9993
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.6677,4,0,$0.00,15,0,0,66.5081,1.992,68.5007,1.9994,70.5007,1.9993
0,7,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.83479,2,0,$0.00,15,0,0,78.5081,2.492,81.0006,1.9995,83.0007,1.9994
0,8,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,1.1218,8,0,$0.00,15,0,0,87.0076,1.9924,89.0006,1.9995,91.0006,1.9994
0,9,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.52563,3,0,$0.00,15,0,0,99.0083,1.9918,101.0006,1.9995,103.0007,1.9993
0,10,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.77264,3,0,+$0.00,15,0,0,111.0084,1.9917,113.0006,1.9995,115.0006,1.9994
0,11,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.51133,2,0,$0.00,15,0,0,121.0076,2.4924,123.5006,1.9995,125.5006,1.9994
0,12,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.75508,4,0,$0.00,15,0,0,129.5083,2.2418,131.7506,1.9995,133.7506,1.9994
0,13,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.67295,2,0,$0.00,15,0,0,139.7575,2.4925,142.2507,1.9994,144.2506,1.9994
0,14,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.82647,9,0,$0.00,15,0,0,148.2586,2.4915,150.7506,1.9994,152.7506,1.9994
0,15,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.86121,9,0,$0.00,15,0,0,158.7578,2.2422,161.0006,1.9995,163.0007,1.9994
0,16,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.81469,9,5,+$5.00,20,0,0,169.0085,2.2415,171.2507,1.9994,173.2506,1.9994
0,17,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.97908,4,0,+$0.00,20,0,0,179.2584,2.4916,181.7506,1.9995,183.7506,1.9994
0,18,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.82421,7,0,$0.00,20,0,0,187.7577,2.4923,190.2506,1.9995,192.2506,1.9994
0,19,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.73772,2,0,$0.00,20,0,0,196.2608,2.2393,198.5006,1.9995,200.5007,1.9994
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.66647,8,5,+$5.00,25,0,0,204.5079,2.2422,206.7506,1.9995,208.7506,1.9994
0,21,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.6274,7,5,+$5.00,30,0,0,216.7577,1.9923,218.7506,1.9995,220.7507,1.9994
0,22,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.84869,4,0,$0.00,30,0,0,226.7586,1.9915,228.7506,1.9995,230.7506,1.9994
0,23,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.68697,3,0,$0.00,30,0,0,234.7585,2.2415,237.0006,1.9994,239.0007,1.9994
0,24,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.28308,1,0,$0.00,30,0,0,245.0079,2.4921,247.5006,1.9994,249.5006,1.9994
0,25,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.7263,9,5,+$5.00,35,0,0,257.5087,2.4913,260.0006,1.9995,262.0006,1.9994
0,26,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.79864,7,5,+$5.00,40,0,0,270.0077,1.9923,272.0006,1.9994,274.0006,1.9994
0,27,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.0209,2,5,+$5.00,45,0,0,278.0087,2.2414,280.2506,1.9995,282.2507,1.9994
0,28,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.83087,8,0,$0.00,45,0,0,288.2587,2.2413,290.5006,1.9995,292.5007,1.9994
0,29,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.92973,4,0,+$0.00,45,0,0,300.5079,2.4921,303.0007,1.9994,305.0006,1.9995
0,30,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.56479,8,5,+$5.00,50,0,0,311.0079,2.4922,313.5006,1.9995,315.5006,1.9994
