block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.99469,6,0,$0.00,0,0,0,12.0117,1.9883,14.0137,1.9867,16.0106,1.9894
0,2,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.73771,2,0,$0.00,0,0,0,20.009,1.9911,22.0007,1.9994,24.0006,1.9994
0,3,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.70379,6,5,+$5.00,5,0,0,30.0084,2.2417,32.2509,1.9992,34.2509,1.9991
0,4,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,1.1101,8,0,$0.00,5,0,0,40.258,2.242,42.5008,1.9992,44.5006,1.9994
0,5,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.78321,7,5,+$5.00,10,0,0,48.5071,1.9929,50.5006,1.9995,52.5005,1.9995
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.57509,9,0,$0.00,10,0,0,56.5071,2.243,58.7506,1.9995,60.7506,1.9994
0,7,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.2601,2,0,$0.00,10,0,0,68.7574,1.9926,70.7506,1.9994,72.7506,1.9994
0,8,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.87513,7,0,+$0.00,10,0,0,76.7595,2.4905,79.2509,1.9992,81.2509,1.9991
0,9,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.95871,3,0,$0.00,10,0,0,89.2578,2.4923,91.7508,1.9992,93.7506,1.9994
0,10,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.73436,4,0,$0.00,10,0,0,101.7575,2.4926,104.2505,1.9996,106.2509,1.9991
0,11,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.96961,9,5,+$5.00,15,0,0,110.2587,1.9913,112.2509,1.9992,114.2508,1.9992
0,12,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.69604,8,0,$0.00,15,0,0,120.2578,2.4922,122.7506,1.9994,124.7509,1.9991
0,13,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.3467,2,5,+$5.00,20,0,0,132.7575,2.4926,135.2507,1.9994,137.2506,1.9994
0,14,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.61741,9,0,+$0.00,20,0,0,143.2576,2.4924,145.7509,1.9992,147.7506,1.9994
0,15,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.2224,3,0,$0.00,20,0,0,155.7573,2.4927,158.2506,1.9995,160.2506,1.9994
0,16,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.33101,2,0,+$0.00,20,0,0,166.2584,2.2416,168.5009,1.9992,170.5006,1.9994
0,17,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.4285,1,5,+$5.00,25,0,0,174.5096,2.2405,176.7506,1.9995,178.7506,1.9994
0,18,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.31054,9,0,$0.00,25,0,0,186.7575,1.9925,188.7506,1.9995,190.7507,1.9994
0,19,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.39271,6,5,+$5.00,30,0,0,194.7586,2.2415,197.286,1.7141,199.0009,1.9991
0,20,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.62342,2,0,$0.00,30,0,0,207.0092,2.2409,209.2506,1.9995,211.2506,1.9994
0,21,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.42999,4,0,+$0.00,30,0,0,215.2586,1.9914,217.2506,1.9995,219.2506,1.9994
0,22,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,1.0313,8,5,+$5.00,35,0,0,227.258,2.492,229.7507,1.9994,231.7506,1.9994
0,23,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.39444,1,0,+$0.00,35,0,0,237.759,2.4911,240.2507,1.9994,242.2507,1.9993
0,24,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.36211,9,0,$0.00,35,0,0,248.2597,2.2403,250.5006,1.9995,252.5006,1.9994
0,25,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.33133,1,5,+$5.00,40,0,0,258.5077,1.9923,260.5006,1.9995,262.5009,1.9992
0,26,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.33826,1,0,$0.00,40,0,0,266.5081,2.2419,268.7509,1.9992,270.7507,1.9993
0,27,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.2337,1,5,+$5.00,45,0,0,276.7579,2.4921,279.2506,1.9995,281.2506,1.9994
0,28,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.40986,7,5,+$5.00,50,0,0,285.2579,1.9921,287.2506,1.9995,289.2506,1.9994
0,29,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.51964,3,0,$0.00,50,0,0,297.2578,1.9922,299.2506,1.9995,301.2506,1.9994
0,30,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.47024,2,0,$0.00,50,0,0,309.258,2.242,311.5009,1.9992,313.5009,1.9991
