block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.68352,6,0,+$0.00,0,0,0,12.008,2.2421,14.2633,1.9871,16.2606,1.9894
0,2,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.52873,2,0,$0.00,0,0,0,22.259,1.9911,24.2506,1.9994,26.2509,1.9991
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.5008,7,0,$0.00,0,0,0,34.2574,1.9926,36.2506,1.9994,38.2506,1.9994
0,4,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.4279,2,0,$0.00,0,0,0,42.2578,2.2423,44.5006,1.9995,46.5006,1.9994
0,5,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.59551,3,0,$0.00,0,0,0,50.5072,2.2429,52.7509,1.9992,54.7509,1.9991
0,6,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.65496,3,5,+$5.00,5,0,0,58.7581,2.2419,61.0009,1.9992,63.0006,1.9994
0,7,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.50624,2,0,$0.00,5,0,0,67.0079,2.2421,69.2506,1.9995,71.2509,1.9991
0,8,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.3823,4,0,+$0.00,5,0,0,79.2587,2.4914,81.7511,1.999,83.7506,1.9994
0,9,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.67576,2,5,+$5.00,10,0,0,87.7575,1.9925,89.7508,1.9993,91.7506,1.9995
0,10,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.41588,2,5,+$5.00,15,0,0,97.7575,1.9926,99.7506,1.9995,101.7509,1.9991
0,11,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.51966,2,0,$0.00,15,0,0,105.7581,2.2419,108.0006,1.9994,110.0009,1.9991
0,12,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.48831,1,5,+$5.00,20,0,0,118.0091,1.991,120.0006,1.9995,122.0009,1.9991
0,13,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.58915,3,5,+$5.00,25,0,0,128.008,2.492,130.5005,1.9996,132.5006,1.9994
0,14,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.66185,7,0,$0.00,25,0,0,136.5083,2.2417,138.7506,1.9995,140.7507,1.9994
0,15,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.41721,2,0,$0.00,25,0,0,148.7583,2.2417,151.0006,1.9995,153.0006,1.9994
0,16,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.57542,9,0,+$0.00,25,0,0,159.0088,2.4912,161.5006,1.9994,163.5006,1.9994
0,17,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.38256,9,5,+$5.00,30,0,0,169.5107,1.9893,171.5006,1.9995,173.5007,1.9993
0,18,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.36159,1,0,+$0.00,30,0,0,181.5083,2.4917,184.0005,1.9996,186.0006,1.9994
0,19,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,0.42617,9,0,$0.00,30,0,0,194.0086,1.9914,196.0008,1.9993,198.0006,1.9994
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.39061,6,5,+$5.00,35,0,0,206.0089,2.4911,208.5005,1.9996,210.5007,1.9994
0,21,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.44334,1,0,$0.00,35,0,0,214.509,1.9911,216.5009,1.9992,218.5006,1.9994
0,22,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.40859,4,0,$0.00,35,0,0,226.5086,2.2415,228.7508,1.9992,230.7506,1.9994
0,23,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.51447,1,0,+$0.00,35,0,0,236.7585,2.4915,239.2506,1.9995,241.2506,1.9994
0,24,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.42662,2,0,$0.00,35,0,0,247.2586,2.4914,249.7506,1.9995,251.7509,1.9991
0,25,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.43549,6,5,+$5.00,40,0,0,255.7584,1.9916,257.7506,1.9995,259.7506,1.9994
0,26,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.5496,6,5,+$5.00,45,0,0,263.7592,1.9908,265.7505,1.9995,267.7506,1.9995
0,27,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,0.45203,6,0,$0.00,45,0,0,273.7591,2.491,276.2506,1.9995,278.2506,1.9994
0,28,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.37475,2,0,$0.00,45,0,0,284.2589,2.2411,286.5006,1.9995,288.5006,1.9994
0,29,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.35194,2,0,$0.00,45,0,0,296.5079,2.4921,299.0009,1.9992,301.0009,1.9991
0,30,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.47648,4,5,+$5.00,50,0,0,309.0094,2.4906,311.5006,1.9995,313.5006,1.9994
