block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.0641,8,0,$0.00,0,0,0,12.0069,1.9931,14.0109,1.9895,16.0098,1.9903
0,2,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.8529,6,5,+$5.00,5,0,0,22.0091,2.4909,24.5009,1.9992,26.5009,1.9991
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.6835,6,0,$0.00,5,0,0,34.5083,1.9918,36.5009,1.9992,38.5007,1.9994
0,4,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.82041,8,5,+$5.00,10,0,0,46.5072,2.4928,49.0006,1.9995,51.0007,1.9993
0,5,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.68431,8,5,+$5.00,15,0,0,57.0092,1.9909,59.0006,1.9995,61.0006,1.9994
0,6,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.74265,3,5,+$5.00,20,0,0,69.0081,2.4919,71.5006,1.9995,73.5009,1.9992
0,7,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.89512,7,0,+$0.00,20,0,0,81.5082,1.9919,83.5006,1.9994,85.5006,1.9994
0,8,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.6969,2,0,$0.00,20,0,0,91.5076,2.2424,93.7506,1.9994,95.7506,1.9994
0,9,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.99962,1,0,$0.00,20,0,0,103.7575,1.9925,105.7506,1.9995,107.7506,1.9994
0,10,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.95039,2,0,$0.00,20,0,0,115.7579,2.2421,118.0009,1.9992,120.0006,1.9994
0,11,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.47193,4,5,+$5.00,25,0,0,124.0076,2.4925,126.5006,1.9995,128.5006,1.9994
0,12,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.60003,7,0,$0.00,25,0,0,136.5084,1.9916,138.5008,1.9993,140.5009,1.9992
0,13,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.1456,7,5,+$5.00,30,0,0,146.5076,2.2425,148.7506,1.9995,150.7506,1.9994
0,14,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.7701,8,0,$0.00,30,0,0,156.7578,2.2423,159.0009,1.9992,161.0009,1.9991
0,15,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.55419,3,0,$0.00,30,0,0,165.0084,2.2416,167.2506,1.9995,169.2506,1.9994
0,16,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.51654,6,0,$0.00,30,0,0,175.2586,2.4914,177.7506,1.9995,179.7506,1.9994
0,17,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.53551,9,0,+$0.00,30,0,0,185.7575,2.4925,188.2506,1.9995,190.2506,1.9994
0,18,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.67413,6,5,+$5.00,35,0,0,194.2578,2.2422,196.5007,1.9994,198.5007,1.9993
0,19,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.60736,2,0,+$0.00,35,0,0,206.5086,2.4914,209.0006,1.9995,211.0009,1.9991
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.57053,3,5,+$5.00,40,0,0,217.0083,2.4917,219.5008,1.9992,221.5006,1.9994
0,21,YOU,self,1,plus0,2,miss,1,miss,0,+$0,0,-1,-1,7,0,Miss!,40,0,0,225.5093,2.2408,227.7509,2.0018,229.7535,1.9965
0,22,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.42068,8,0,$0.00,40,0,0,237.7588,1.9913,239.7507,1.9994,241.7506,1.9994
0,23,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.39443,7,0,$0.00,40,0,0,247.7578,2.2422,250.0006,1.9994,252.0006,1.9994
0,24,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.5344,7,5,+$5.00,45,0,0,256.0082,2.4918,258.5005,1.9995,260.5009,1.9991
0,25,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.82212,3,0,$0.00,45,0,0,264.5097,1.9903,266.5009,1.9992,268.5009,1.9991
0,26,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.64886,9,0,$0.00,45,0,0,272.5092,2.2408,274.7508,1.9993,276.7506,1.9994
0,27,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.44631,8,5,+$5.00,50,0,0,280.7588,2.4913,283.2506,1.9995,285.2507,1.9994
0,28,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.40706,4,0,$0.00,50,0,0,293.2593,1.9907,295.2506,1.9994,297.2509,1.9991
0,29,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.63398,2,0,+$0.00,50,0,0,303.2587,2.2413,305.5009,1.9992,307.5009,1.9991
0,30,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.53184,6,0,$0.00,50,0,0,311.5097,1.9903,313.5009,1.9992,315.5009,1.9992
