block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.6391,6,5,+$5.00,5,0,0,12.0082,2.4918,14.5135,1.9869,16.511,1.989
0,2,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.3317,4,0,$0.00,5,0,0,24.5089,2.4912,27.0007,1.9994,29.0006,1.9994
0,3,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,1.2398,8,0,$0.00,5,0,0,33.0073,2.2427,35.2506,1.9995,37.2506,1.9994
0,4,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.90351,8,5,+$5.00,10,0,0,43.258,2.492,45.7509,1.9992,47.7506,1.9994
0,5,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,1.1288,9,0,+$0.00,10,0,0,55.7581,1.9919,57.7506,1.9995,59.7506,1.9994
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.124,6,0,$0.00,10,0,0,63.7577,1.9924,65.7506,1.9995,67.7507,1.9994
0,7,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,1.2926,1,0,+$0.00,10,0,0,71.7574,1.9926,73.7506,1.9995,75.7506,1.9994
0,8,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.65396,1,0,$0.00,10,0,0,83.7577,1.9923,85.7509,1.9992,87.7509,1.9991
0,9,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,1.0821,9,0,+$0.00,10,0,0,93.7586,1.9915,95.7506,1.9995,97.7506,1.9994
0,10,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.85934,4,0,$0.00,10,0,0,101.7582,2.4918,104.2506,1.9995,106.2506,1.9994
0,11,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.0085,1,0,$0.00,10,0,0,112.2579,2.4921,114.7505,1.9995,116.7506,1.9994
0,12,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.8557,3,5,+$5.00,15,0,0,122.7575,2.4925,125.2506,1.9995,127.2506,1.9994
0,13,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.75239,1,0,$0.00,15,0,0,133.2576,2.2424,135.5006,1.9994,137.5007,1.9994
0,14,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.1882,8,5,+$5.00,20,0,0,145.5085,1.9915,147.5006,1.9995,149.5007,1.9993
0,15,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.73506,4,5,+$5.00,25,0,0,157.5077,2.2423,159.7508,1.9993,161.7509,1.9991
0,16,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,1.3005,3,0,$0.00,25,0,0,165.7575,2.2425,168.0006,1.9995,170.0006,1.9994
0,17,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.0147,2,5,+$5.00,30,0,0,174.0075,2.2425,176.2506,1.9994,178.2506,1.9994
0,18,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.2319,1,0,$0.00,30,0,0,184.2591,1.991,186.2506,1.9995,188.2506,1.9994
0,19,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.1048,4,0,$0.00,30,0,0,192.2588,1.9912,194.2505,1.9996,196.2506,1.9994
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.91811,8,5,+$5.00,35,0,0,200.2585,2.2415,202.5006,1.9995,204.5006,1.9994
0,21,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.1881,1,0,$0.00,35,0,0,212.5099,2.4902,215.0006,1.9995,217.0006,1.9994
0,22,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.79044,9,0,+$0.00,35,0,0,223.0077,1.9924,225.0008,1.9993,227.0006,1.9994
0,23,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,0.95596,6,0,$0.00,35,0,0,231.0086,2.4914,233.5006,1.9995,235.5006,1.9994
0,24,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.84629,2,5,+$5.00,40,0,0,243.5084,2.2417,245.7506,1.9995,247.7506,1.9994
0,25,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,1.2444,1,0,$0.00,40,0,0,253.7598,2.2402,256.0007,1.9994,258.0006,1.9994
0,26,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.5275,3,0,$0.00,40,0,0,264.0077,2.4923,266.5006,1.9995,268.5006,1.9994
0,27,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,1.2496,9,5,+$5.00,45,0,0,276.5086,2.2414,278.7509,1.9992,280.7509,1.9992
0,28,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.98893,6,0,+$0.00,45,0,0,288.7581,2.4919,291.2506,1.9995,293.2506,1.9994
0,29,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,1.2954,8,5,+$5.00,50,0,0,301.2579,2.2421,303.5006,1.9995,305.5006,1.9994
0,30,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.78011,7,0,$0.00,50,0,0,311.5088,1.9913,313.5006,1.9994,315.5006,1.9994
