block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.67199,2,5,+$5.00,5,0,0,12.0069,1.9932,14.0111,1.9894,16.0097,1.9904
0,2,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.42086,8,0,$0.00,5,0,0,20.0087,1.9914,22.0006,1.9995,24.0009,1.9991
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.51889,1,0,$0.00,5,0,0,32.0068,1.9932,34.0009,1.9992,36.0009,1.9991
0,4,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.46305,7,0,$0.00,5,0,0,44.008,1.992,46.0006,1.9995,48.0006,1.9994
0,5,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.43793,1,0,$0.00,5,0,0,54.0095,2.2405,56.2508,1.9993,58.2509,1.9992
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.49075,4,0,$0.00,5,0,0,62.2578,2.2422,64.5008,1.9992,66.5006,1.9994
0,7,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.39831,1,0,$0.00,5,0,0,74.5081,2.242,76.7506,1.9995,78.7507,1.9994
0,8,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.37578,9,0,$0.00,5,0,0,86.757,1.993,88.7506,1.9994,90.7506,1.9995
0,9,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.43848,1,5,+$5.00,10,0,0,96.758,2.2421,99.0007,1.9994,101.0007,1.9994
0,10,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.51477,1,5,+$5.00,15,0,0,107.007,2.243,109.2506,1.9995,111.2506,1.9994
0,11,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.41726,3,5,+$5.00,20,0,0,115.2579,2.2421,117.5009,1.9992,119.5006,1.9995
0,12,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.36412,1,0,$0.00,20,0,0,125.508,1.9921,127.5006,1.9995,129.5008,1.9993
0,13,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.30489,7,0,+$0.00,20,0,0,135.5073,2.4927,138.0006,1.9995,140.0009,1.9991
0,14,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.51094,7,0,+$0.00,20,0,0,146.0073,2.2428,148.2506,1.9995,150.2506,1.9994
0,15,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.34897,2,5,+$5.00,25,0,0,156.2582,2.4919,158.7505,1.9995,160.7506,1.9995
0,16,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.46038,7,0,+$0.00,25,0,0,164.7581,2.4919,167.2509,1.9992,169.2506,1.9994
0,17,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.40671,4,5,+$5.00,30,0,0,173.2572,2.4928,175.7506,1.9995,177.7506,1.9994
0,18,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.32682,4,0,+$0.00,30,0,0,181.7586,2.4914,184.2506,1.9995,186.2507,1.9994
0,19,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.30185,2,5,+$5.00,35,0,0,190.2573,1.9927,192.2506,1.9995,194.2506,1.9994
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.40021,9,5,+$5.00,40,0,0,198.2573,2.2427,200.5006,1.9995,202.5009,1.9991
0,21,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.3062,8,0,$0.00,40,0,0,208.5073,1.9927,210.5006,1.9995,212.5006,1.9994
0,22,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.36766,8,5,+$5.00,45,0,0,216.5087,2.4913,219.0006,1.9995,221.0006,1.9994
0,23,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.40398,6,0,+$0.00,45,0,0,229.0075,2.4926,231.5006,1.9995,233.5006,1.9994
0,24,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.2574,9,0,$0.00,45,0,0,237.5099,1.9902,239.5006,1.9995,241.5006,1.9994
0,25,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.35005,1,5,+$5.00,50,0,0,249.5075,1.9925,251.5006,1.9995,253.5006,1.9995
0,26,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.58873,8,0,$0.00,50,0,0,261.5074,2.2426,263.7506,1.9995,265.7507,1.9994
0,27,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.35937,1,0,$0.00,50,0,0,273.7574,2.4926,276.2506,1.9995,278.2506,1.9994
0,28,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.37644,3,0,$0.00,50,0,0,286.2573,2.4927,288.7505,1.9995,290.7507,1.9993
0,29,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,0.30024,6,0,$0.00,50,0,0,298.759,2.491,301.2506,1.9995,303.2506,1.9994
0,30,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.8488,7,0,$0.00,50,0,0,309.2576,2.2425,311.5006,1.9995,313.5008,1.9992
