block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.7872,3,0,$0.00,0,0,0,12.0075,2.2425,14.2611,1.9893,16.2592,1.9908
0,2,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,1.0624,9,0,$0.00,0,0,0,24.258,2.492,26.7509,1.9992,28.7509,1.9991
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.68764,9,0,$0.00,0,0,0,32.7578,2.4923,35.2505,1.9995,37.2506,1.9994
0,4,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.1776,8,0,$0.00,0,0,0,45.2578,1.9922,47.2505,1.9996,49.2505,1.9995
0,5,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.5522,1,0,$0.00,0,0,0,53.2569,1.9931,55.2505,1.9996,57.2506,1.9994
0,6,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,1.6585,9,5,+$5.00,5,0,0,65.2571,1.993,67.2505,1.9996,69.2507,1.9993
0,7,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.83005,3,0,$0.00,5,0,0,77.2572,1.9929,79.2505,1.9996,81.2506,1.9994
0,8,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.71736,6,0,$0.00,5,0,0,89.2573,2.2427,91.5006,1.9995,93.5006,1.9994
0,9,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,1.1543,8,0,$0.00,5,0,0,99.5073,2.4927,102.0009,1.9992,104.0006,1.9994
0,10,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.4433,1,5,+$5.00,10,0,0,108.0072,2.4929,110.5006,1.9995,112.5009,1.9991
0,11,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.88562,3,5,+$5.00,15,0,0,118.5084,2.2416,120.7508,1.9993,122.7506,1.9994
0,12,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.96025,4,0,+$0.00,15,0,0,130.7588,1.9912,132.7506,1.9995,134.7509,1.9991
0,13,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.37075,3,0,+$0.00,15,0,0,140.7585,2.2415,143.0006,1.9995,145.0006,1.9994
0,14,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,1.0298,1,5,+$5.00,20,0,0,153.0087,2.2413,155.2505,1.9996,157.2507,1.9994
0,15,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.69232,1,5,+$5.00,25,0,0,163.2583,2.4917,165.7509,1.9992,167.7509,1.9991
0,16,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.1029,9,0,$0.00,25,0,0,173.7584,2.4916,176.2507,1.9994,178.2506,1.9995
0,17,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.75697,4,0,+$0.00,25,0,0,182.2582,2.4918,184.7509,1.9992,186.7509,1.9991
0,18,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,1.0495,2,5,+$5.00,30,0,0,190.7584,1.9917,192.7506,1.9995,194.7512,1.9988
0,19,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.2838,8,0,$0.00,30,0,0,202.7581,1.9919,204.7506,1.9995,206.7506,1.9994
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.59691,9,5,+$5.00,35,0,0,212.7593,2.2407,215.0006,1.9995,217.0006,1.9994
0,21,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.53424,4,0,$0.00,35,0,0,221.0091,1.9909,223.0009,1.9992,225.0007,1.9994
0,22,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.77482,6,5,+$5.00,40,0,0,229.0095,2.2405,231.2509,1.9992,233.2506,1.9994
0,23,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.4393,7,0,$0.00,40,0,0,239.2584,2.2416,241.5006,1.9995,243.5006,1.9994
0,24,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.7793,7,5,+$5.00,45,0,0,249.5078,1.9923,251.5006,1.9995,253.5009,1.9991
0,25,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,0.58182,9,0,$0.00,45,0,0,257.5086,2.4914,260.0006,1.9995,262.0009,1.9991
0,26,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.1027,1,0,$0.00,45,0,0,270.008,1.9921,272.0006,1.9995,274.0006,1.9994
0,27,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,1.4685,1,5,+$5.00,50,0,0,278.0084,2.2416,280.2507,1.9994,282.2506,1.9994
0,28,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.76025,4,0,+$0.00,50,0,0,288.2585,2.2415,290.5006,1.9995,292.5009,1.9991
0,29,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.74525,3,0,$0.00,50,0,0,296.5089,2.4912,299.0009,1.9992,301.0006,1.9994
0,30,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,1.4194,3,0,+$0.00,50,0,0,309.0076,2.4925,311.5006,1.9995,313.5009,1.9991
