block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.2979,8,5,+$5.00,5,0,0,12.0082,2.2418,14.2639,1.9866,16.2607,1.9893
0,2,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.3653,2,5,+$5.00,10,0,0,22.2587,2.4914,24.7507,1.9994,26.7506,1.9994
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.0674,9,0,$0.00,10,0,0,32.7586,2.2415,35.0006,1.9995,37.0008,1.9992
0,4,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.97524,1,0,$0.00,10,0,0,41.0076,1.9924,43.0006,1.9995,45.0006,1.9994
0,5,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.8715,8,5,+$5.00,15,0,0,51.008,2.2421,53.2507,1.9994,55.2506,1.9994
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.74125,7,0,$0.00,15,0,0,63.2576,2.2424,65.5006,1.9994,67.5009,1.9991
0,7,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.78209,7,0,$0.00,15,0,0,75.5085,1.9915,77.5009,1.9992,79.5009,1.9991
0,8,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,1.5815,3,0,$0.00,15,0,0,83.5077,1.9923,85.5006,1.9995,87.5009,1.9991
0,9,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.0249,7,0,$0.00,15,0,0,93.5079,2.4922,96.0009,1.9992,98.0006,1.9994
0,10,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,1.1795,2,0,+$0.00,15,0,0,102.008,2.242,104.2508,1.9993,106.2507,1.9993
0,11,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.92367,7,0,$0.00,15,0,0,112.258,2.4921,114.7506,1.9994,116.7506,1.9994
0,12,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,1.0069,2,5,+$5.00,20,0,0,122.7574,2.4926,125.2506,1.9995,127.2506,1.9994
0,13,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.95951,6,0,+$0.00,20,0,0,135.2583,2.2418,137.5009,1.9992,139.5009,1.9991
0,14,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,1.1373,7,0,$0.00,20,0,0,143.5096,2.2404,145.7505,1.9995,147.7506,1.9994
0,15,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.7582,9,5,+$5.00,25,0,0,151.758,1.992,153.7507,1.9993,155.7506,1.9994
0,16,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,1.5723,9,0,$0.00,25,0,0,161.7585,1.9915,163.7506,1.9995,165.7506,1.9994
0,17,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.90864,8,0,+$0.00,25,0,0,169.7582,2.4918,172.2505,1.9996,174.2506,1.9994
0,18,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.59227,3,5,+$5.00,30,0,0,180.2577,2.2424,182.5006,1.9995,184.5006,1.9994
0,19,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,1.1581,2,5,+$5.00,35,0,0,192.5084,2.2416,194.7506,1.9995,196.7509,1.9991
0,20,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.69873,4,0,$0.00,35,0,0,200.7575,2.4926,203.2509,1.9992,205.2509,1.9991
0,21,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.3742,8,0,$0.00,35,0,0,213.2585,2.4915,215.7506,1.9995,217.7507,1.9994
0,22,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.3163,7,5,+$5.00,40,0,0,225.759,1.991,227.7506,1.9994,229.7506,1.9995
0,23,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.0955,9,0,$0.00,40,0,0,235.7576,2.4924,238.2507,1.9994,240.2509,1.9991
0,24,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,1.1639,1,0,+$0.00,40,0,0,248.2575,1.9925,250.2506,1.9995,252.2506,1.9994
0,25,YOU,self,1,plus5,1,miss,0,miss,0,+$5,1,-1,-1,6,0,Miss!,40,0,0,256.2579,1.9921,258.2506,2.005,260.2562,1.9938
0,26,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.77861,7,5,+$5.00,45,0,0,268.2586,2.2415,270.5006,1.9995,272.5009,1.9991
0,27,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.67378,8,0,$0.00,45,0,0,280.5084,2.4917,283.0009,1.9992,285.0008,1.9992
0,28,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.94317,2,0,+$0.00,45,0,0,291.0098,2.4902,293.5006,1.9995,295.5006,1.9995
0,29,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.6381,2,0,$0.00,45,0,0,299.5089,1.9912,301.5007,1.9994,303.5006,1.9994
0,30,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.96204,9,5,+$5.00,50,0,0,307.508,1.9921,309.5009,1.9992,311.5006,1.9994
