block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.64886,3,5,+$5.00,5,0,0,12.007,1.993,14.0111,1.9893,16.009,1.991
0,2,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.61234,9,5,+$5.00,10,0,0,24.0085,2.4915,26.5006,1.9994,28.5006,1.9994
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.0677,3,0,$0.00,10,0,0,32.5077,2.4924,35.0006,1.9995,37.0006,1.9994
0,4,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,1.2772,3,0,$0.00,10,0,0,43.0078,1.9922,45.0006,1.9995,47.0006,1.9994
0,5,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.0706,3,0,$0.00,10,0,0,55.007,1.993,57.0006,1.9995,59.0006,1.9994
0,6,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.90869,2,5,+$5.00,15,0,0,67.0071,1.9929,69.0009,1.9992,71.0006,1.9994
0,7,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.92659,3,5,+$5.00,20,0,0,75.0073,2.2428,77.2506,1.9994,79.2506,1.9994
0,8,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.88404,9,0,$0.00,20,0,0,87.2574,2.2426,89.5006,1.9995,91.5006,1.9994
0,9,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,1.6396,2,0,$0.00,20,0,0,97.5079,2.2421,99.7505,1.9996,101.7506,1.9994
0,10,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.77737,3,5,+$5.00,25,0,0,109.7592,1.9908,111.7506,1.9995,113.7506,1.9994
0,11,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.0172,7,0,$0.00,25,0,0,117.7575,1.9925,119.7506,1.9994,121.7507,1.9994
0,12,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,1.2262,6,5,+$5.00,30,0,0,127.7574,1.9926,129.7506,1.9995,131.7506,1.9994
0,13,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.6047,2,5,+$5.00,35,0,0,135.7572,1.9928,137.7506,1.9995,139.7507,1.9993
0,14,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.564,8,0,$0.00,35,0,0,145.7573,2.2427,148.0005,1.9995,150.0007,1.9993
0,15,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.96209,7,0,$0.00,35,0,0,156.0074,2.4926,158.5006,1.9995,160.5006,1.9994
0,16,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.92268,6,0,+$0.00,35,0,0,164.5076,2.4925,167.0006,1.9995,169.0006,1.9994
0,17,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,1.0359,1,0,$0.00,35,0,0,173.0082,1.9918,175.0005,1.9995,177.0007,1.9994
0,18,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.86923,1,0,$0.00,35,0,0,185.0075,2.4925,187.5006,1.9995,189.5006,1.9994
0,19,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.0055,1,0,$0.00,35,0,0,195.5073,2.4927,198.0006,1.9995,200.0006,1.9994
0,20,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.8186,7,0,$0.00,35,0,0,206.0076,2.4924,208.5006,1.9995,210.5006,1.9994
0,21,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.67264,6,0,+$0.00,35,0,0,214.509,2.491,217.0005,1.9995,219.0006,1.9994
0,22,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.82784,6,5,+$5.00,40,0,0,227.0075,2.4925,229.5006,1.9995,231.5006,1.9994
0,23,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,1.2045,7,0,+$0.00,40,0,0,239.5075,2.2425,241.7506,1.9995,243.7506,1.9994
0,24,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.3151,7,0,$0.00,40,0,0,249.7582,2.2418,252.0006,1.9995,254.0006,1.9994
0,25,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.67546,9,0,+$0.00,40,0,0,258.0082,2.2418,260.2509,1.9992,262.2506,1.9994
0,26,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.82324,7,5,+$5.00,45,0,0,268.2585,2.4916,270.7506,1.9995,272.7506,1.9994
0,27,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.84522,8,5,+$5.00,50,0,0,276.7584,2.2416,279.0006,1.9995,281.0006,1.9994
0,28,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,1.0357,4,0,$0.00,50,0,0,287.0076,1.9925,289.0007,1.9994,291.0006,1.9994
0,29,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.1008,3,0,$0.00,50,0,0,299.0074,2.2426,301.2506,1.9995,303.2506,1.9994
0,30,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.67073,2,0,+$0.00,50,0,0,311.2584,2.2416,313.5006,1.9995,315.5006,1.9994
