block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.92541,6,5,+$5.00,5,0,0,12.0069,2.4932,14.5109,1.9896,16.5098,1.9903
0,2,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,1.0696,1,0,$0.00,5,0,0,24.5089,2.4911,27.0007,1.9994,29.0006,1.9994
0,3,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.85526,8,0,$0.00,5,0,0,35.0078,2.4922,37.5006,1.9995,39.5006,1.9994
0,4,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.54029,6,0,$0.00,5,0,0,47.5073,2.4928,50.0006,1.9995,52.0006,1.9994
0,5,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.48457,1,0,$0.00,5,0,0,56.0099,1.9901,58.0006,1.9995,60.0006,1.9994
0,6,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.70033,1,5,+$5.00,10,0,0,66.0072,1.9928,68.0006,1.9995,70.0006,1.9994
0,7,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.90995,2,0,$0.00,10,0,0,76.0074,2.4926,78.5006,1.9995,80.5007,1.9994
0,8,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.5291,8,5,+$5.00,15,0,0,84.5073,2.2427,86.7506,1.9995,88.7506,1.9994
0,9,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.71756,2,5,+$5.00,20,0,0,92.7575,1.9925,94.7507,1.9994,96.7506,1.9994
0,10,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.50024,8,5,+$5.00,25,0,0,102.7573,2.4927,105.2506,1.9995,107.2506,1.9994
0,11,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.83626,4,5,+$5.00,30,0,0,115.2574,1.9927,117.2506,1.9995,119.2506,1.9994
0,12,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.73542,8,0,+$0.00,30,0,0,125.2583,2.4917,127.7505,1.9995,129.7509,1.9992
0,13,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.86393,7,5,+$5.00,35,0,0,135.7588,2.2412,138.0006,1.9995,140.0006,1.9994
0,14,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.6646,2,0,$0.00,35,0,0,144.0075,1.9925,146.0006,1.9995,148.0006,1.9994
0,15,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.88403,7,5,+$5.00,40,0,0,154.0074,2.2426,156.2506,1.9995,158.2506,1.9994
0,16,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.97748,8,0,$0.00,40,0,0,166.2576,1.9925,168.2506,1.9995,170.2507,1.9994
0,17,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.63763,8,0,+$0.00,40,0,0,176.2584,2.2417,178.5006,1.9995,180.5006,1.9994
0,18,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.56897,2,0,$0.00,40,0,0,184.5076,2.2424,186.7508,1.9993,188.7506,1.9994
0,19,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,1,0.61888,7,0,+$0.00,40,0,0,192.7583,2.2418,195.0006,1.9994,197.0006,1.9995
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.65277,4,5,+$5.00,45,0,0,201.0077,2.2424,203.2506,1.9995,205.2509,1.9991
0,21,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.86929,9,0,+$0.00,45,0,0,213.258,2.492,215.7509,1.9992,217.7509,1.9992
0,22,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,0,0.62845,9,0,$0.00,45,0,0,221.7584,2.2417,224.0005,1.9995,226.0006,1.9994
0,23,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,1,0.60712,1,0,$0.00,45,0,0,232.0077,2.2423,234.2506,1.9995,236.2506,1.9994
0,24,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,1.1155,7,0,$0.00,45,0,0,240.2577,1.9923,242.2506,1.9995,244.2507,1.9994
0,25,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.77016,4,0,+$0.00,45,0,0,252.2585,1.9916,254.2505,1.9996,256.2507,1.9993
0,26,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.7128,8,0,$0.00,45,0,0,264.2584,2.4916,266.7506,1.9995,268.7509,1.9991
0,27,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.62926,7,0,$0.00,45,0,0,276.7588,2.2412,279.0006,1.9995,281.0006,1.9994
0,28,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.70528,9,5,+$5.00,50,0,0,289.0079,2.4921,291.5006,1.9995,293.5009,1.9991
0,29,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,0.42566,3,0,$0.00,50,0,0,299.5079,1.9921,301.5009,1.9992,303.5009,1.9991
0,30,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.65934,6,0,$0.00,50,0,0,311.5077,1.9923,313.5006,1.9995,315.5006,1.9994
